run_group,case_id,model_name,seed,objective_variant,mean_logdet_residual_proxy,q90_logdet_residual_proxy,negative_eigenvalue_frequency_recomputed_from_pointwise,mean_min_eigenvalue,pointwise_path
ablation,cefalu_lambda_1_0,global,19,baseline_plus_negativity,-0.845792829990387,0.7165737628936767,0.035,0.1543218493461609,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_negativity\pointwise_diagnostics.parquet
ablation,cefalu_lambda_1_0,global,19,baseline_plus_projective,-0.8496280908584595,0.7148273706436157,0.035,0.15399444103240967,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_ablation_v1_cefalu_1_0_pointwise_safe_minimal\runs\cefalu_lambda_1_0\seed_19\baseline_plus_projective\pointwise_diagnostics.parquet
sweep,cefalu_lambda_0_50,global,7,,-0.29830291867256165,0.5617362737655639,0.0,0.1409449428319931,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_7\global\pointwise_diagnostics.parquet
sweep,cefalu_lambda_0_50,local,7,,-0.006523165851831436,0.8673075675964355,0.0,0.16680572926998138,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_7\local\pointwise_diagnostics.parquet
sweep,cefalu_lambda_0_50,global,11,,-2.4784674644470215,0.08917887210845943,0.12,0.09630939364433289,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_11\global\pointwise_diagnostics.parquet
sweep,cefalu_lambda_0_50,local,11,,-0.2555423080921173,0.6953244686126708,0.005,0.14749981462955475,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_11\local\pointwise_diagnostics.parquet
sweep,cefalu_lambda_0_50,global,19,,-0.625074028968811,0.8076636552810669,0.02,0.1372862309217453,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_19\global\pointwise_diagnostics.parquet
sweep,cefalu_lambda_0_50,local,19,,-0.7101882696151733,0.8932649374008178,0.04,0.1546095907688141,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_50\seed_19\local\pointwise_diagnostics.parquet
sweep,cefalu_lambda_0_75,global,7,,-0.39143553376197815,0.5201473236083983,0.005,0.14738629758358002,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_75\seed_7\global\pointwise_diagnostics.parquet
sweep,cefalu_lambda_0_75,local,7,,-0.0023968827445060015,0.7729201793670653,0.0,0.1761845201253891,C:\Users\fearl\OneDrive\Documents\ar\globalcy\outputs\cefalu_hard_regime_sweep_v1_regime_sweep_pointwise_safe_minimal\runs\cefalu_lambda_0_75\seed_7\local\pointwise_diagnostics.parquet
