case_id,lambda_value,model_name,seed,fragile_flag,fragile_label,n_points,weight_sum,negative_frequency,negative_frequency_weighted,min_eigenvalue_mean,min_eigenvalue_weighted_mean,min_eigenvalue_q10,min_eigenvalue_q05,spectral_tail_mean,logdet_residual_mean,logdet_residual_weighted_mean,logdet_residual_q90,logdet_residual_q95,euler_density_proxy_mean,euler_density_proxy_weighted_mean,determinant_g_mean,determinant_g_weighted_mean,logdet_g_mean,logdet_g_weighted_mean,logdet_target_mean,logdet_target_weighted_mean,fragility_score_mean,chart_id_mode
cefalu_lambda_0_90,0.9,local,19,False,regular,176.0,174.20068359375,0.0,0.0,0.18333391845226288,0.17836026652248524,0.08057180047035217,0.05870616249740124,0.05057125887833536,-0.08371594548225403,-0.09294959258067498,0.6989473104476929,0.7900446653366089,-3.4917173385620117,-3.576362837249423,0.04119432345032692,0.039854667807530754,-3.4917173385620117,-3.576362837249423,-3.408001184463501,-3.4834132446687485,1.0389773367940196,3.0
cefalu_lambda_0_90,0.9,local,19,True,fragile,24.0,25.799301147460938,0.0,0.0,0.1723182648420334,0.15203066669866025,0.06493332460522652,0.056679921224713326,0.04938134551048279,-0.005754163023084402,-0.18607315733195368,0.8406588792800903,0.868215525150299,-3.700113534927368,-3.9140850261002376,0.034650471061468124,0.029423498267198516,-3.700113534927368,-3.9140850261002376,-3.694359540939331,-3.728011868768284,0.5721515811186502,3.0
cefalu_lambda_1_0,1.0,global,7,False,regular,170.0,172.25550842285156,0.0058823529411764705,0.00243921382518886,0.16828756034374237,0.15965778809550574,0.08221585229039194,0.058236793614923954,0.05171999039457125,-0.35447466373443604,-0.35760165190349813,0.5264637231826782,0.6529823064804073,-3.708219528198242,-3.7958306779637225,0.036285869777202606,0.03219224154058371,-3.708219528198242,-3.7958306779637225,-3.3537449836730957,-3.438229026060225,1.022014337241774,3.0
cefalu_lambda_1_0,1.0,global,7,True,fragile,30.0,27.744464874267578,0.06666666666666667,0.07728769990405164,0.17369481921195984,0.16298588563515046,0.07295391112565996,0.00762578761205078,0.0004515492667754491,-1.0407603979110718,-1.232253033898856,0.5661757469177248,0.7617706954479213,-4.34303617477417,-4.618675785744265,0.040844324976205826,0.035303115408460976,-4.34303617477417,-4.618675785744265,-3.3022758960723877,-3.386422785088394,0.6119188236271426,3.0
cefalu_lambda_1_0,1.0,global,11,False,regular,168.0,164.7321319580078,0.08928571428571429,0.08868969099020804,0.11544670164585114,0.11543226150179291,0.008703847159631545,-0.01407142458483577,-0.019222936188966474,-2.207141399383545,-2.185927297145781,0.053594493865966826,0.13349350690841694,-5.477197170257568,-5.463855469865526,0.019618360325694084,0.018608975500203937,-5.477197170257568,-5.463855469865526,-3.2700557708740234,-3.277928168351526,0.9991848006185645,3.0
cefalu_lambda_1_0,1.0,global,11,True,fragile,32.0,35.26785659790039,0.09375,0.12306610359979432,0.09413094818592072,0.08899301849674542,0.0024419462541118266,-0.014993541128933429,-0.021998294221702963,-2.4681742191314697,-2.8209103581870716,-0.028460025787353283,0.14171339273452754,-5.931182861328125,-6.360289565709725,0.014036831445991993,0.013029354948208482,-5.931182861328125,-6.360289565709725,-3.4630088806152344,-3.539379158229361,0.601180796911029,3.0
cefalu_lambda_1_0,1.0,global,19,False,regular,178.0,182.93661499023438,0.033707865168539325,0.03086180383059258,0.15943126380443573,0.15807376477001683,0.0477630190551281,0.018284458853304385,0.016920838303728186,-0.8026880621910095,-0.7292099309807155,0.7286014556884769,1.1416982769966126,-4.1265788078308105,-4.145452559638904,0.04092571511864662,0.042147568732545444,-4.1265788078308105,-4.145452559638904,-3.3238906860351562,-3.4162426252479543,1.0069720717654176,3.0
cefalu_lambda_1_0,1.0,global,19,True,fragile,22.0,17.063365936279297,0.045454545454545456,0.024018475834477148,0.11313360184431076,0.10874165579889734,0.034572920948266986,0.034205829910933974,0.013582202916344007,-1.1935890913009644,-0.9500065324175626,0.23540518283844034,0.46916565895080553,-4.610515117645264,-4.482070783653238,0.025236595422029495,0.023776666221791976,-4.610515117645264,-4.482070783653238,-3.4169256687164307,-3.5320642626885768,0.5605070982504337,3.0
cefalu_lambda_1_0,1.0,local,7,False,regular,170.0,172.25550842285156,0.0058823529411764705,0.011164093600217364,0.197296142578125,0.18789566093403928,0.0840164452791214,0.055315033718943606,0.04756491217652664,-0.08455043286085129,-0.1841155023686517,0.8641623258590697,0.9955996513366695,-3.438295602798462,-3.6223445310906053,0.047098394483327866,0.04358439460097755,-3.438295602798462,-3.6223445310906053,-3.3537449836730957,-3.438229026060225,1.022014337241774,3.0
cefalu_lambda_1_0,1.0,local,7,True,fragile,30.0,27.744464874267578,0.0,0.0,0.19094350934028625,0.1815125778812345,0.09654661566019059,0.06568006090819836,0.056137739370266594,-0.05514451488852501,-0.10981837801992869,0.6228097200393677,0.7171341180801389,-3.3574204444885254,-3.4962411631083232,0.04418877512216568,0.040698618538446155,-3.3574204444885254,-3.4962411631083232,-3.3022758960723877,-3.386422785088394,0.6119188236271426,3.0
