subset,mode,variable,loading,abs_loading,explained_variance_ratio
ablation_fragile_only,PC3,min_eigenvalue_q05,0.321020815026125,0.321020815026125,0.0038444381706320752
ablation_fragile_only,PC3,min_eigenvalue_mean,0.2645098013531516,0.2645098013531516,0.0038444381706320752
ablation_fragile_only,PC3,euler_density_proxy_weighted_mean,-0.2635999034631735,0.2635999034631735,0.0038444381706320752
ablation_fragile_only,PC3,logdet_residual_mean,-0.19187361882472764,0.19187361882472764,0.0038444381706320752
ablation_fragile_only,PC3,euler_density_proxy_mean,-0.18610930003209258,0.18610930003209258,0.0038444381706320752
ablation_fragile_only,PC3,logdet_g_mean,-0.18610930003209258,0.18610930003209258,0.0038444381706320752
ablation_fragile_only,PC3,determinant_g_mean,0.16231503271817604,0.16231503271817604,0.0038444381706320752
ablation_fragile_only,PC3,min_eigenvalue_q10,0.128717539858704,0.128717539858704,0.0038444381706320752
ablation_fragile_only,PC3,logdet_target_mean,-0.0931786416269729,0.0931786416269729,0.0038444381706320752
ablation_fragile_only,PC3,logdet_residual_q90,0.09168085591992886,0.09168085591992886,0.0038444381706320752
ablation_fragile_only,PC3,logdet_residual_q95,0.06908625021428186,0.06908625021428186,0.0038444381706320752
ablation_regular_only,PC1,euler_density_proxy_weighted_mean,0.29139891135507817,0.29139891135507817,0.9056278459142874
ablation_regular_only,PC1,euler_density_proxy_mean,0.2912291837442192,0.2912291837442192,0.9056278459142874
ablation_regular_only,PC1,logdet_g_mean,0.2912291837442192,0.2912291837442192,0.9056278459142874
ablation_regular_only,PC1,logdet_residual_mean,0.29114802803914175,0.29114802803914175,0.9056278459142874
ablation_regular_only,PC1,min_eigenvalue_mean,0.29060792631593196,0.29060792631593196,0.9056278459142874
ablation_regular_only,PC1,negative_frequency,-0.28745200739836885,0.28745200739836885,0.9056278459142874
ablation_regular_only,PC1,logdet_target_mean,-0.28616255237852395,0.28616255237852395,0.9056278459142874
ablation_regular_only,PC1,min_eigenvalue_q10,0.27884088878478563,0.27884088878478563,0.9056278459142874
ablation_regular_only,PC1,spectral_tail_mean,0.27791692568924337,0.27791692568924337,0.9056278459142874
ablation_regular_only,PC1,min_eigenvalue_q05,0.27011796431266377,0.27011796431266377,0.9056278459142874
ablation_regular_only,PC1,determinant_g_mean,0.2641676357304706,0.2641676357304706,0.9056278459142874
ablation_regular_only,PC1,logdet_residual_q90,0.2544424391849514,0.2544424391849514,0.9056278459142874
ablation_regular_only,PC1,logdet_residual_q95,0.22190251780787712,0.22190251780787712,0.9056278459142874
ablation_regular_only,PC2,logdet_residual_q95,0.587663310824858,0.587663310824858,0.09360057792669868
ablation_regular_only,PC2,logdet_residual_q90,0.4419923560071376,0.4419923560071376,0.09360057792669868
ablation_regular_only,PC2,determinant_g_mean,0.38223790160256527,0.38223790160256527,0.09360057792669868
ablation_regular_only,PC2,min_eigenvalue_q05,-0.3387908874742446,0.3387908874742446,0.09360057792669868
ablation_regular_only,PC2,spectral_tail_mean,-0.2699670547494434,0.2699670547494434,0.09360057792669868
ablation_regular_only,PC2,min_eigenvalue_q10,-0.263596821805789,0.263596821805789,0.09360057792669868
ablation_regular_only,PC2,logdet_target_mean,0.16727371562433394,0.16727371562433394,0.09360057792669868
ablation_regular_only,PC2,negative_frequency,0.14419091093696873,0.14419091093696873,0.09360057792669868
ablation_regular_only,PC2,min_eigenvalue_mean,0.06050573013255288,0.06050573013255288,0.09360057792669868
ablation_regular_only,PC2,logdet_residual_mean,-0.038353780418991026,0.038353780418991026,0.09360057792669868
ablation_regular_only,PC2,logdet_g_mean,-0.03232751485705898,0.03232751485705898,0.09360057792669868
ablation_regular_only,PC2,euler_density_proxy_mean,-0.03232751485705897,0.03232751485705897,0.09360057792669868
ablation_regular_only,PC2,euler_density_proxy_weighted_mean,-0.00709995406558056,0.00709995406558056,0.09360057792669868
ablation_regular_only,PC3,spectral_tail_mean,0.44471725921524163,0.44471725921524163,0.0007711601772065915
ablation_regular_only,PC3,negative_frequency,0.43543007650984805,0.43543007650984805,0.0007711601772065915
ablation_regular_only,PC3,logdet_target_mean,0.4308015955154678,0.4308015955154678,0.0007711601772065915
ablation_regular_only,PC3,min_eigenvalue_q05,0.36309910079745744,0.36309910079745744,0.0007711601772065915
ablation_regular_only,PC3,min_eigenvalue_mean,0.3553645632672558,0.3553645632672558,0.0007711601772065915
ablation_regular_only,PC3,determinant_g_mean,0.25114175930741717,0.25114175930741717,0.0007711601772065915
ablation_regular_only,PC3,euler_density_proxy_weighted_mean,-0.15480818400010554,0.15480818400010554,0.0007711601772065915
ablation_regular_only,PC3,logdet_residual_mean,-0.1522425354888356,0.1522425354888356,0.0007711601772065915
ablation_regular_only,PC3,euler_density_proxy_mean,-0.13918610619460958,0.13918610619460958,0.0007711601772065915
ablation_regular_only,PC3,logdet_g_mean,-0.13918610619460958,0.13918610619460958,0.0007711601772065915
ablation_regular_only,PC3,logdet_residual_q90,0.09036811783459836,0.09036811783459836,0.0007711601772065915
ablation_regular_only,PC3,min_eigenvalue_q10,0.07735334813052655,0.07735334813052655,0.0007711601772065915
ablation_regular_only,PC3,logdet_residual_q95,-0.07616583935912079,0.07616583935912079,0.0007711601772065915
baseline_combined,PC1,euler_density_proxy_mean,-0.32794185165795153,0.32794185165795153,0.6915174921510114
baseline_combined,PC1,logdet_g_mean,-0.32794185165795153,0.32794185165795153,0.6915174921510114
baseline_combined,PC1,euler_density_proxy_weighted_mean,-0.322720567989828,0.322720567989828,0.6915174921510114
baseline_combined,PC1,logdet_residual_mean,-0.31235341301599806,0.31235341301599806,0.6915174921510114
baseline_combined,PC1,min_eigenvalue_q10,-0.3090651961119292,0.3090651961119292,0.6915174921510114
baseline_combined,PC1,spectral_tail_mean,-0.2999499293388928,0.2999499293388928,0.6915174921510114
baseline_combined,PC1,negative_frequency,0.29901582279948213,0.29901582279948213,0.6915174921510114
baseline_combined,PC1,min_eigenvalue_q05,-0.29838507337718645,0.29838507337718645,0.6915174921510114
baseline_combined,PC1,min_eigenvalue_mean,-0.2864802166917848,0.2864802166917848,0.6915174921510114
baseline_combined,PC1,determinant_g_mean,-0.26667640010211713,0.26667640010211713,0.6915174921510114
baseline_combined,PC1,logdet_residual_q90,-0.17006708581615507,0.17006708581615507,0.6915174921510114
baseline_combined,PC1,logdet_residual_q95,-0.15901817219466358,0.15901817219466358,0.6915174921510114
baseline_combined,PC1,logdet_target_mean,-0.10891687052834058,0.10891687052834058,0.6915174921510114
baseline_combined,PC2,logdet_residual_q90,-0.5603986911251948,0.5603986911251948,0.14197077226304383
baseline_combined,PC2,logdet_target_mean,0.5531933108886019,0.5531933108886019,0.14197077226304383
baseline_combined,PC2,logdet_residual_q95,-0.5447217842883263,0.5447217842883263,0.14197077226304383
baseline_combined,PC2,logdet_residual_mean,-0.16179397864316541,0.16179397864316541,0.14197077226304383
baseline_combined,PC2,determinant_g_mean,0.14039056965795366,0.14039056965795366,0.14197077226304383
baseline_combined,PC2,min_eigenvalue_mean,0.11132201693741654,0.11132201693741654,0.14197077226304383
baseline_combined,PC2,euler_density_proxy_mean,0.08995717536764541,0.08995717536764541,0.14197077226304383
baseline_combined,PC2,logdet_g_mean,0.08995717536764541,0.08995717536764541,0.14197077226304383
baseline_combined,PC2,min_eigenvalue_q10,0.08169547573176991,0.08169547573176991,0.14197077226304383
baseline_combined,PC2,euler_density_proxy_weighted_mean,0.037946414589677305,0.037946414589677305,0.14197077226304383
baseline_combined,PC2,negative_frequency,-0.023544630224770956,0.023544630224770956,0.14197077226304383
baseline_combined,PC2,spectral_tail_mean,-0.007159783677915872,0.007159783677915872,0.14197077226304383
baseline_combined,PC2,min_eigenvalue_q05,0.0049970406936374195,0.0049970406936374195,0.14197077226304383
baseline_combined,PC3,logdet_target_mean,-0.4347522027883337,0.4347522027883337,0.1194954407468716
baseline_combined,PC3,determinant_g_mean,-0.4309479507571219,0.4309479507571219,0.1194954407468716
baseline_combined,PC3,logdet_residual_q95,-0.34294146699471983,0.34294146699471983,0.1194954407468716
baseline_combined,PC3,min_eigenvalue_mean,-0.337505572465308,0.337505572465308,0.1194954407468716
baseline_combined,PC3,spectral_tail_mean,0.31250224282729366,0.31250224282729366,0.1194954407468716
baseline_combined,PC3,logdet_residual_q90,-0.2981828405453722,0.2981828405453722,0.1194954407468716
baseline_combined,PC3,min_eigenvalue_q05,0.2839434684708676,0.2839434684708676,0.1194954407468716
baseline_combined,PC3,negative_frequency,-0.25963958897765765,0.25963958897765765,0.1194954407468716
baseline_combined,PC3,logdet_residual_mean,0.19546701201558908,0.19546701201558908,0.1194954407468716
baseline_combined,PC3,min_eigenvalue_q10,0.14114542311820233,0.14114542311820233,0.1194954407468716
baseline_combined,PC3,euler_density_proxy_weighted_mean,0.029193835661464856,0.029193835661464856,0.1194954407468716
baseline_combined,PC3,euler_density_proxy_mean,-0.00912671259557453,0.00912671259557453,0.1194954407468716
baseline_combined,PC3,logdet_g_mean,-0.009126712595574446,0.009126712595574446,0.1194954407468716
baseline_fragile_global,PC1,euler_density_proxy_mean,-0.32041224154200765,0.32041224154200765,0.6841826573481106
baseline_fragile_global,PC1,logdet_g_mean,-0.32041224154200765,0.32041224154200765,0.6841826573481106
baseline_fragile_global,PC1,logdet_residual_mean,-0.31892827958043013,0.31892827958043013,0.6841826573481106
