variable_i,variable_j,correlation,subset
logdet_g_mean,negative_frequency,-0.892502968121332,baseline_fragile_only
logdet_target_mean,negative_frequency,-0.120643349827988,baseline_fragile_only
negative_frequency,min_eigenvalue_mean,-0.43232804129188923,baseline_fragile_only
min_eigenvalue_mean,min_eigenvalue_mean,0.9999999999999998,baseline_fragile_only
min_eigenvalue_q10,min_eigenvalue_mean,0.6862944239059144,baseline_fragile_only
min_eigenvalue_q05,min_eigenvalue_mean,0.4957576621012528,baseline_fragile_only
spectral_tail_mean,min_eigenvalue_mean,0.47630104216716385,baseline_fragile_only
logdet_residual_mean,min_eigenvalue_mean,0.5187153249242688,baseline_fragile_only
logdet_residual_q90,min_eigenvalue_mean,0.36237194022111385,baseline_fragile_only
logdet_residual_q95,min_eigenvalue_mean,0.3106311222338963,baseline_fragile_only
euler_density_proxy_mean,min_eigenvalue_mean,0.7718672723337062,baseline_fragile_only
euler_density_proxy_weighted_mean,min_eigenvalue_mean,0.6747056376463777,baseline_fragile_only
determinant_g_mean,min_eigenvalue_mean,0.9648515309816047,baseline_fragile_only
logdet_g_mean,min_eigenvalue_mean,0.7718672723337062,baseline_fragile_only
logdet_target_mean,min_eigenvalue_mean,0.6097044271304434,baseline_fragile_only
negative_frequency,min_eigenvalue_q10,-0.7987200602531175,baseline_fragile_only
min_eigenvalue_mean,min_eigenvalue_q10,0.6862944239059144,baseline_fragile_only
min_eigenvalue_q10,min_eigenvalue_q10,0.9999999999999998,baseline_fragile_only
min_eigenvalue_q05,min_eigenvalue_q10,0.8929102960206238,baseline_fragile_only
spectral_tail_mean,min_eigenvalue_q10,0.89514715695088,baseline_fragile_only
logdet_residual_mean,min_eigenvalue_q10,0.8427250224139995,baseline_fragile_only
logdet_residual_q90,min_eigenvalue_q10,0.1375651385885185,baseline_fragile_only
logdet_residual_q95,min_eigenvalue_q10,0.07462356609844423,baseline_fragile_only
euler_density_proxy_mean,min_eigenvalue_q10,0.8734880136950222,baseline_fragile_only
euler_density_proxy_weighted_mean,min_eigenvalue_q10,0.8242857535270387,baseline_fragile_only
