case_id,lambda_value,model_name,fragile_flag,fragile_label,n_points,weight_sum,negative_frequency,negative_frequency_weighted,min_eigenvalue_mean,min_eigenvalue_weighted_mean,min_eigenvalue_q10,min_eigenvalue_q05,spectral_tail_mean,logdet_residual_mean,logdet_residual_weighted_mean,logdet_residual_q90,logdet_residual_q95,euler_density_proxy_mean,euler_density_proxy_weighted_mean,determinant_g_mean,determinant_g_weighted_mean,logdet_g_mean,logdet_g_weighted_mean,logdet_target_mean,logdet_target_weighted_mean,fragility_score_mean,chart_id_mode
cefalu_lambda_0_90,0.9,local,False,regular,521.0,518.35107421875,0.009596928982725527,0.013431749593110961,0.18376456201076508,0.1790306102691177,0.07389649748802185,0.04709396883845329,0.04088986127303457,-0.1906292587518692,-0.25649301926165086,0.7798902988433838,0.9783954620361328,-3.593503952026367,-3.706575472465884,0.04251118004322052,0.040632859780585166,-3.593503952026367,-3.706575472465884,-3.402874708175659,-3.4500824531962935,1.0356620282926834,3.0
cefalu_lambda_0_90,0.9,local,True,fragile,79.0,81.64892578125,0.02531645569620253,0.027908555660817205,0.1533486694097519,0.14909529985145212,0.04447434842586518,0.027646387554705148,0.018487774475943297,-0.5366057753562927,-0.5856111557584339,0.8420416355133057,1.0167711257934566,-4.173530578613281,-4.2521027615001294,0.03137475624680519,0.03027917280279071,-4.173530578613281,-4.2521027615001294,-3.636925458908081,-3.666491610962459,0.597585266669325,3.0
cefalu_lambda_1_0,1.0,global,False,regular,516.0,519.9242553710938,0.04263565891472868,0.03976726040334788,0.14802849292755127,0.1450880872148202,0.04275332763791084,0.010489659383893013,0.006819769820420054,-1.112284779548645,-1.0676372517095563,0.5190272331237793,0.7085614800453186,-4.428483486175537,-4.447340796163848,0.032459806650877,0.0313913432362486,-4.428483486175537,-4.447340796163848,-3.3161985874176025,-3.3797035418703714,1.0093924662970246,3.0
cefalu_lambda_1_0,1.0,global,True,fragile,84.0,80.07568359375,0.07142857142857142,0.08609878712305605,0.1275235116481781,0.11883816703983269,0.021012568287551405,-0.013323244918137788,-0.013301445352327492,-1.624563455581665,-1.8718037338150926,0.3881023883819582,0.545737540721893,-5.0180983543396,-5.356628143964471,0.026544207707047462,0.02303687300513717,-5.0180983543396,-5.356628143964471,-3.3935344219207764,-3.484824402397528,0.5943631710890088,3.0
cefalu_lambda_1_0,1.0,local,False,regular,516.0,519.9242553710938,0.005813953488372093,0.010138574305290133,0.1934666782617569,0.186964727480921,0.07926293089985847,0.05498251225799322,0.04939418589660468,-0.13103127479553223,-0.20788476435299544,0.7223167419433594,0.9392412304878235,-3.4472298622131348,-3.587588304034479,0.045965131372213364,0.04341007291293084,-3.4472298622131348,-3.587588304034479,-3.3161985874176025,-3.3797035418703714,1.0093924662970246,3.0
cefalu_lambda_1_0,1.0,local,True,fragile,84.0,80.07568359375,0.011904761904761904,0.0060039348158033076,0.17545655369758606,0.1667710273826323,0.05493617877364159,0.038314672932028775,0.03266686532232496,-0.3149639368057251,-0.24911434376130667,0.662541174888611,0.7523388147354125,-3.708498239517212,-3.733938744727385,0.03976050764322281,0.03591219045450816,-3.708498239517212,-3.733938744727385,-3.3935344219207764,-3.484824402397528,0.5943631710890088,3.0
cefalu_lambda_1_10,1.1,global,False,regular,523.0,530.17626953125,0.032504780114722756,0.026107819815300887,0.15615752339363098,0.15210901644880315,0.045639270544052125,0.01860879734158516,0.011955527225201774,-0.9845951199531555,-0.8983090357306381,0.5290196895599365,0.677585458755493,-4.1997599601745605,-4.197238828676326,0.03678176924586296,0.03499116739416538,-4.1997599601745605,-4.197238828676326,-3.21516489982605,-3.2989297876372228,0.9861119068419294,3.0
cefalu_lambda_1_10,1.1,global,True,fragile,77.0,69.82368469238281,0.07792207792207792,0.10020884782194259,0.14323431253433228,0.1288831036310679,0.012811999022960664,-0.011633336544036863,-0.01260529481805861,-1.7508556842803955,-2.126619908976261,0.20410466194152851,0.411399030685425,-4.903923988342285,-5.416143015738682,0.031375814229249954,0.025590847871985338,-4.903923988342285,-5.416143015738682,-3.1530685424804688,-3.289523127020671,0.6114433612554873,3.0
cefalu_lambda_1_10,1.1,local,False,regular,523.0,530.17626953125,0.0057361376673040155,0.010131257692345736,0.2043558657169342,0.1955563388033697,0.09316084682941436,0.06953630521893502,0.060369987611852166,-0.11797236651182175,-0.1894435859070351,0.6889558792114258,0.8446059346199035,-3.333137035369873,-3.4883733704429005,0.05083140358328819,0.047091182287837166,-3.333137035369873,-3.4883733704429005,-3.21516489982605,-3.2989297876372228,0.9861119068419294,3.0
cefalu_lambda_1_10,1.1,local,True,fragile,77.0,69.82368469238281,0.0,0.0,0.19440056383609772,0.18142788705305196,0.06755474954843521,0.043433313816785814,0.04022943280870095,-0.23067940771579742,-0.21123819667806462,0.6143549919128418,0.8273082256317139,-3.3837482929229736,-3.5007613252508176,0.049523938447237015,0.04375666772768735,-3.3837482929229736,-3.5007613252508176,-3.1530685424804688,-3.289523127020671,0.6114433612554873,3.0
